"Distance[m]" "Pseudodepth[m]" "Apparent resistivity[ohmm]"
565 30 60.96
655 30 57.46
745 30 56.54
575 30 59.5
665 30 58.79
755 30 59.66
585 30 58.77
675 30 58.6
595 30 56.87
685 30 60.46
605 30 57.93
695 30 61.35
615 30 59.04
705 30 62.3
620 20 64.46
680 20 69.2
740 20 69.81
580 20 62.85
640 20 69.34
700 20 67.41
760 20 71.81
600 20 66.79
660 20 65.08
720 20 67.45
595 10 64.37
625 10 69.88
655 10 70.27
685 10 64.12
715 10 62.29
745 10 70.99
775 10 86.25
605 10 64.45
635 10 78.37
665 10 63.25
695 10 64.98
725 10 62.97
755 10 90.32
785 10 110
615 10 74.26
645 10 74.15
675 10 72.09
705 10 64.37
735 10 76.59
765 10 96.16
