"Distance[m]" "Pseudodepth[m]" "Apparent resistivity[ohmm]"
475 10 1103.327
390 10 1039.867
420 10 516.478
450 10 867.080
480 10 1176.841
395 10 1016.619
425 10 589.363
455 10 833.779
485 10 1063.743
400 10 1107.097
430 10 512.708
460 10 1202.916
397.5 5 1583.363
412.5 5 791.681
427.5 5 571.299
442.5 5 936.195
457.5 5 1002.168
472.5 5 1771.858
487.5 5 1630.487
402.5 5 1690.177
417.5 5 515.221
432.5 5 656.593
447.5 5 826.239
462.5 5 1611.637
477.5 5 1878.672
492.5 5 1357.168
407.5 5 973.894
422.5 5 597.845
437.5 5 604.757
452.5 5 1124.690
467.5 5 1498.540
482.5 5 1862.964
480 120 194.527
500 120 223.556
520 120 223.933
470 100 159.279
490 100 180.327
510 100 195.093
530 100 186.925
550 100 232.164
500 80 203.324
520 80 213.880
540 80 204.078
560 80 237.504
580 80 282.743
570 60 353.241
590 60 441.080
610 60 335.522
530 60 257.108
550 60 341.365
600 40 692.407
620 40 586.850
640 40 844.460
560 40 618.265
580 40 580.566
630 20 1632.372
590 20 1066.257
650 20 2019.416
610 20 1302.504
670 20 2513.274
535 30 786.026
545 30 782.257
465 30 510.823
555 30 640.885
475 30 716.283
485 30 610.726
495 30 518.363
505 30 437.310
515 30 465.584
525 30 591.876
500 20 644.655
560 20 897.239
520 20 713.770
480 20 824.982
540 20 859.540
512.5 15 738.903
557.5 15 997.142
517.5 15 855.770
562.5 15 1038.611
522.5 15 805.347
567.5 15 1111.181
482.5 15 861.425
527.5 15 897.239
572.5 15 1047.093
487.5 15 938.237
532.5 15 892.526
577.5 15 984.889
492.5 15 852.942
537.5 15 1009.394
497.5 15 738.903
542.5 15 985.832
502.5 15 652.666
547.5 15 1048.978
507.5 15 664.447
552.5 15 930.226
505 10 642.142
535 10 1066.257
565 10 1242.186
510 10 689.265
540 10 1250.354
570 10 1306.903
515 10 794.195
545 10 1306.903
575 10 1269.203
490 10 965.097
520 10 983.319
550 10 1213.911
580 10 1222.708
495 10 856.084
525 10 976.407
555 10 999.026
585 10 1101.442
500 10 733.876
530 10 1059.345
560 10 1209.513
497.5 5 1024.159
512.5 5 653.451
527.5 5 1190.664
542.5 5 2415.885
557.5 5 1611.637
572.5 5 1595.929
587.5 5 1787.566
502.5 5 703.717
517.5 5 801.106
532.5 5 2183.407
547.5 5 1705.885
562.5 5 2073.451
577.5 5 2114.292
592.5 5 1712.168
507.5 5 617.637
522.5 5 1077.566
537.5 5 1514.248
552.5 5 2079.734
567.5 5 1969.779
582.5 5 1545.664
580 120 235.996
600 120 229.588
620 120 268.418
570 100 235.619
590 100 207.345
610 100 224.310
630 100 236.248
650 100 263.894
600 80 239.515
620 80 263.391
640 80 262.637
660 80 264.899
680 80 294.053
670 60 443.530
690 60 387.358
710 60 504.226
630 60 394.144
650 60 436.556
700 40 726.336
720 40 1049.292
740 40 1271.717
660 40 967.611
680 40 904.779
730 20 2915.398
690 20 2349.911
750 20 2563.540
710 20 2689.203
770 20 2576.106
635 30 1002.796
645 30 1183.752
565 30 752.097
655 30 1442.934
575 30 784.142
585 30 777.544
595 30 893.469
605 30 1032.956
615 30 957.557
625 30 1042.380
600 20 1188.779
660 20 2395.150
620 20 1653.734
580 20 1048.035
640 20 1712.796
612.5 15 1505.137
657.5 15 3072.478
617.5 15 1728.504
662.5 15 3185.575
622.5 15 1702.586
667.5 15 3364.646
582.5 15 1135.215
627.5 15 1960.354
672.5 15 3157.301
587.5 15 1281.299
632.5 15 2167.699
677.5 15 3374.071
592.5 15 1268.104
637.5 15 2375.044
597.5 15 1206.372
642.5 15 2205.398
602.5 15 1264.805
647.5 15 2695.486
607.5 15 1355.754
652.5 15 2855.708
605 10 1372.876
635 10 2840.000
665 10 4046.371
610 10 1683.894
640 10 3204.425
670 10 4571.017
615 10 1558.230
645 10 3330.088
675 10 4586.725
590 10 1470.265
620 10 1592.787
650 10 3744.778
680 10 3926.991
595 10 1407.434
625 10 2287.079
655 10 4907.168
685 10 3512.301
600 10 1129.717
630 10 2305.929
660 10 4687.256
597.5 5 1379.159
612.5 5 1960.354
627.5 5 2588.672
642.5 5 5215.044
657.5 5 7131.415
672.5 5 6597.345
687.5 5 3744.778
602.5 5 1382.301
617.5 5 1925.796
632.5 5 3116.460
647.5 5 4825.486
662.5 5 7476.991
677.5 5 5431.814
692.5 5 3678.805
607.5 5 1564.513
622.5 5 2456.725
637.5 5 3458.894
652.5 5 6848.672
667.5 5 7068.583
682.5 5 4407.654
680 120 255.977
700 120 275.204
720 120 265.402
670 100 221.796
690 100 268.292
710 100 309.133
730 100 279.916
750 100 236.876
700 80 321.699
720 80 361.660
740 80 355.377
760 80 377.242
780 80 369.451
770 60 634.476
790 60 570.765
810 60 578.870
730 60 553.046
750 60 583.017
800 40 1181.239
820 40 1344.602
840 40 1185.009
760 40 1050.549
780 40 1040.495
830 20 2376.929
790 20 2249.380
850 20 2244.354
810 20 1886.212
870 20 2487.513
735 30 1865.164
755 30 1509.849
705 30 1419.372
712.5 15 3138.451
757.5 15 3911.283
717.5 15 3496.593
762.5 15 3477.743
767.5 15 3119.602
682.5 15 3138.451
727.5 15 4608.716
772.5 15 3308.097
732.5 15 3920.708
777.5 15 2789.734
697.5 15 3204.425
742.5 15 3779.336
747.5 15 3901.858
705 10 3575.132
765 10 3895.575
710 10 3857.876
740 10 5384.690
770 10 3908.141
775 10 3883.009
690 10 3408.628
720 10 5057.964
750 10 7439.291
780 10 3122.743
755 10 6496.814
785 10 2902.832
700 10 3839.026
730 10 7577.521
760 10 4492.477
697.5 5 3751.062
712.5 5 6107.256
742.5 5 8482.300
757.5 5 7476.991
772.5 5 5127.079
787.5 5 3989.823
702.5 5 3579.845
717.5 5 7131.415
747.5 5 10273.008
762.5 5 6276.902
777.5 5 5039.115
792.5 5 3113.318
707.5 5 4825.486
752.5 5 8419.468
767.5 5 7194.247
782.5 5 3330.088
780 120 348.717
800 120 326.851
820 120 243.536
770 100 275.832
790 100 306.619
810 100 308.819
830 100 276.460
850 100 471.867
800 80 365.933
820 80 329.742
840 80 353.869
860 80 785.398
880 80 496.372
870 60 942.478
890 60 957.557
910 60 1027.301
830 60 606.579
850 60 732.305
900 40 1688.920
920 40 1642.425
940 40 1902.549
860 40 1334.549
880 40 1673.841
930 20 3367.787
890 20 2990.796
950 20 4410.796
910 20 2576.106
970 20 4750.088
835 30 1777.513
845 30 1822.752
765 30 1475.920
855 30 1803.903
775 30 1502.310
785 30 1937.734
795 30 1699.287
805 30 1743.584
815 30 1673.841
825 30 1664.416
800 20 2357.451
860 20 2651.504
820 20 2004.964
780 20 2544.690
840 20 2390.752
812.5 15 2195.973
857.5 15 3053.628
817.5 15 2214.823
862.5 15 3355.221
822.5 15 2384.469
867.5 15 3223.274
782.5 15 2554.115
827.5 15 2478.717
872.5 15 2968.805
787.5 15 2309.071
832.5 15 2375.044
877.5 15 2987.655
792.5 15 2676.637
837.5 15 2704.911
797.5 15 2450.442
842.5 15 2591.814
802.5 15 2356.194
847.5 15 2591.814
807.5 15 2205.398
852.5 15 2516.416
805 10 2362.478
835 10 2877.699
865 10 4850.619
810 10 2494.425
840 10 2519.557
870 10 4448.495
815 10 2783.451
845 10 3311.239
875 10 3185.575
790 10 2720.619
820 10 2463.009
850 10 3521.725
880 10 4209.734
795 10 2965.663
825 10 2343.628
855 10 2871.416
885 10 4806.637
800 10 2682.920
830 10 2783.451
860 10 3185.575
797.5 5 4429.646
812.5 5 3031.637
827.5 5 3047.345
842.5 5 4040.088
857.5 5 3970.973
872.5 5 5196.194
887.5 5 7634.070
802.5 5 3063.053
817.5 5 2632.655
832.5 5 4118.628
847.5 5 4203.451
862.5 5 6660.176
877.5 5 5846.504
892.5 5 8482.300
807.5 5 3085.044
822.5 5 3471.460
837.5 5 3515.442
852.5 5 5954.889
867.5 5 5642.300
882.5 5 7445.575
880 120 338.538
900 120 332.129
920 120 353.241
870 100 287.456
890 100 395.841
910 100 390.500
930 100 399.296
950 100 368.195
900 80 469.731
920 80 514.970
940 80 509.692
960 80 553.674
980 80 616.003
970 60 1029.186
990 60 1285.540
1010 60 1195.062
930 60 776.602
950 60 821.841
1000 40 2617.575
1020 40 2664.071
1040 40 2646.478
960 40 2083.504
980 40 2579.876
1030 20 6553.362
990 20 6327.168
1050 20 7200.530
1010 20 6427.699
1070 20 7414.159
935 30 2902.832
945 30 3293.960
955 30 3667.181
885 30 2231.787
895 30 2266.659
905 30 2082.876
915 30 2224.248
925 30 2429.708
900 20 3091.327
960 20 4599.292
920 20 2877.699
880 20 2664.071
940 20 3970.973
912.5 15 2921.681
957.5 15 5013.982
917.5 15 3251.548
962.5 15 5560.619
922.5 15 3086.615
967.5 15 5947.035
882.5 15 2912.256
927.5 15 3562.566
972.5 15 7049.734
887.5 15 3449.469
932.5 15 3619.115
977.5 15 7012.035
892.5 15 3788.761
937.5 15 4071.504
897.5 15 3487.168
942.5 15 4599.292
902.5 15 3072.478
947.5 15 5268.451
907.5 15 3223.274
952.5 15 5357.986
905 10 3685.088
935 10 4454.778
965 10 7627.787
910 10 3543.717
940 10 5629.734
970 10 9880.309
915 10 3537.433
945 10 5786.814
975 10 9845.751
890 10 4266.283
920 10 3983.539
950 10 7081.150
980 10 9983.981
895 10 3700.796
925 10 4241.150
955 10 7219.380
985 10 9795.486
900 10 4115.486
930 10 4423.362
960 10 7043.451
897.5 5 7382.743
912.5 5 7696.902
927.5 5 7382.743
942.5 5 13069.025
957.5 5 15519.468
972.5 5 19980.529
987.5 5 22965.042
902.5 5 7791.150
917.5 5 5007.699
932.5 5 10241.592
947.5 5 12315.043
962.5 5 14137.167
977.5 5 21991.149
992.5 5 21645.573
907.5 5 5045.398
922.5 5 8325.221
937.5 5 9267.698
952.5 5 14451.326
967.5 5 18503.981
982.5 5 24378.759
980 120 581.320
1000 120 610.349
1020 120 405.265
970 100 546.009
990 100 497.628
1010 100 972.637
1030 100 379.504
1050 100 476.580
1000 80 713.519
1020 80 979.172
1040 80 588.106
1060 80 609.972
1080 80 963.087
1070 60 1357.168
1090 60 1687.035
1110 60 1758.664
1030 60 1330.779
1050 60 1055.575
1100 40 3570.106
1120 40 3560.053
1140 40 3870.442
1060 40 3120.230
1080 40 3446.955
1130 20 8532.566
1090 20 8689.645
1150 20 8683.362
1110 20 7979.645
1170 20 8124.159
1035 30 4542.743
1045 30 4731.239
965 30 3055.513
1055 30 4900.885
975 30 3313.752
985 30 4014.955
995 30 4260.000
1005 30 4373.097
1015 30 3958.407
1025 30 3958.407
1000 20 6396.283
1060 20 7539.822
1020 20 6144.955
980 20 5617.168
1040 20 7376.460
1012.5 15 7483.274
1057.5 15 8892.278
1017.5 15 7643.495
1062.5 15 10103.362
1022.5 15 7605.796
1067.5 15 10225.884
982.5 15 7228.805
1027.5 15 7417.300
1072.5 15 10847.919
987.5 15 6936.637
1032.5 15 7869.690
1077.5 15 9990.265
992.5 15 7803.716
1037.5 15 8703.782
997.5 15 7850.840
1042.5 15 9877.167
1002.5 15 7926.238
1047.5 15 9132.610
1007.5 15 7520.973
1052.5 15 8736.769
1005 10 9405.928
1035 10 10725.397
1065 10 14953.981
1010 10 9198.583
1040 10 12340.176
1070 10 14702.654
1015 10 10609.158
1045 10 12534.955
1075 10 14702.654
990 10 9789.203
1020 10 9550.442
1050 10 12154.822
1080 10 15456.636
995 10 11510.795
1025 10 9456.194
1055 10 12289.910
1085 10 15896.459
1000 10 10910.751
1030 10 9641.548
1060 10 14702.654
997.5 5 21834.069
1012.5 5 18582.521
1027.5 5 16744.689
1042.5 5 24001.768
1057.5 5 23279.202
1072.5 5 21299.998
1087.5 5 23310.617
1002.5 5 19634.954
1017.5 5 15645.131
1032.5 5 18786.724
1047.5 5 22682.299
1062.5 5 22116.812
1077.5 5 24975.662
1092.5 5 23561.945
1007.5 5 17168.804
1022.5 5 16838.937
1037.5 5 19760.618
1052.5 5 22368.140
1067.5 5 23813.272
1082.5 5 21739.821
1080 120 429.770
1100 120 397.726
1120 120 425.623
1070 100 392.699
1090 100 441.708
1110 100 524.018
1130 100 497.628
1150 100 902.580
1100 80 742.924
1120 80 815.557
1140 80 733.876
1160 80 933.933
1180 80 788.665
1170 60 1719.080
1190 60 1753.009
1210 60 1894.380
1130 60 1585.248
1150 60 1394.867
1200 40 4272.566
1220 40 4179.575
1240 40 3699.540
1160 40 3808.867
1180 40 4071.504
1230 20 9669.822
1190 20 9418.495
1250 20 7590.088
1210 20 8953.539
1270 20 9575.574
1180 120 822.972
1200 120 533.442
1220 120 474.255
1170 100 561.403
1190 100 557.947
1210 100 739.845
1230 100 553.863
1250 100 797.965
1200 80 784.812
1220 80 886.934
1240 80 899.752
1260 80 1387.327
1280 80 1389.841
1270 60 2474.947
1290 60 2676.637
1310 60 2267.602
1230 60 1673.841
1250 60 1753.009
1300 40 4987.592
1320 40 4344.194
1340 40 4095.380
1260 40 3855.363
1280 40 4567.876
1330 20 7822.566
1290 20 7257.079
1350 20 8796.459
1310 20 9336.813
1370 20 8708.495
1280 120 784.142
1300 120 949.641
1320 120 1080.457
1270 100 914.832
1290 100 1231.504
1310 100 936.823
1330 100 790.425
1350 100 268.606
1300 80 1296.849
1320 80 1500.425
1340 80 995.257
1360 80 691.653
1380 80 1218.938
1370 60 1690.805
1390 60 2488.141
1410 60 2516.416
1330 60 1900.035
1350 60 1621.062
1400 40 4535.203
1420 40 4546.513
1440 40 3910.655
1360 40 3808.867
1380 40 4878.265
1430 20 6848.672
1390 20 7772.300
1450 20 9475.043
1410 20 9229.999
1470 20 6836.106
1270 7 20539.733
1380 120 1651.221
1400 120 622.035
1420 120 639.377
1370 100 746.861
1390 100 949.389
1410 100 992.743
1430 100 804.248
1450 100 540.354
1400 80 924.382
1420 80 1153.593
1440 80 854.262
1460 80 962.584
1480 80 1020.389
1470 60 2228.018
1490 60 1971.664
1510 60 1930.195
1430 60 1851.026
1450 60 1830.292
1500 40 4040.088
1520 40 3727.186
1540 40 3631.681
1460 40 4022.495
1480 40 4027.522
1530 20 5780.530
1490 20 7596.371
1550 20 6609.911
1510 20 6666.460
1570 20 6421.415
1480 120 511.200
1500 120 721.561
1520 120 570.765
1470 100 586.535
1490 100 798.593
1510 100 928.655
1530 100 622.035
1550 100 684.867
1500 80 1191.292
1520 80 1392.354
1540 80 1271.717
1560 80 914.580
1580 80 1055.575
1570 60 1928.310
1590 60 2086.646
1610 60 1900.035
1530 60 2735.071
1550 60 1967.894
1600 40 3325.062
1620 40 3744.778
1640 40 3963.433
1560 40 4035.062
1580 40 3681.947
1630 20 6389.999
1590 20 6289.468
1650 20 5303.008
1610 20 5799.380
1670 20 6119.822
1580 120 402.250
1600 120 620.904
1620 120 976.407
1570 100 659.734
1590 100 920.172
1610 100 1080.708
1630 100 719.425
1650 100 747.071
1600 80 1309.416
1620 80 1130.973
1640 80 1017.876
1660 80 1166.159
1680 80 1384.814
1670 60 2088.531
1690 60 2058.372
1710 60 2454.212
1630 60 1760.549
1650 60 2020.672
1700 40 3113.947
1720 40 3641.734
1740 40 3351.451
1660 40 3514.814
1680 40 3347.681
1730 20 5466.371
1690 20 5579.469
1750 20 3443.186
1710 20 4473.628
1770 20 3857.876
1680 120 863.310
1700 120 525.903
1720 120 540.982
1670 100 852.314
1690 100 836.606
1710 100 895.354
1730 100 747.071
1750 100 1696.460
1700 80 1550.690
1720 80 1246.584
1740 80 1128.460
1760 80 2241.841
1780 80 2106.124
