Pungwe tunnel project moving backwards
5
1
1386
1
0
90 60 2354
100 60 2091
110 60 2122
75 50 2075
85 50 2055
95 50 1963
105 50 1902
115 50 1835
125 50 1804
100 40 1747
110 40 1770
120 40 1734
130 40 1769
140 40 1622
60 40 1941
70 40 1979
80 40 2023
90 40 1822
115 30 1911
125 30 1818
45 30 1851
135 30 1754
55 30 2128
145 30 1774
65 30 2107
155 30 1680
75 30 1979
85 30 1767
95 30 1864
105 30 1830
70 20 2126
130 20 2244
80 20 2022
140 20 2394
30 20 1757
90 20 2163
150 20 2322
40 20 1753
100 20 2385
160 20 2123
50 20 2201
110 20 2336
170 20 2031
60 20 2252
120 20 2230
25 10 1859
55 10 2185
85 10 3166
115 10 3908
145 10 4097
175 10 3189
35 10 1620
65 10 2889
95 10 3429
125 10 4011
155 10 3589
185 10 2823
15 10 2673
45 10 2064
75 10 2659
105 10 3603
135 10 3730
165 10 3501
57.5 15 2170
62.5 15 2308
22.5 15 2214
67.5 15 2417
27.5 15 1727
72.5 15 2299
32.5 15 1499
77.5 15 2314
37.5 15 1684
42.5 15 1987
47.5 15 2137
52.5 15 2070
40 10 1768
70 10 3039
20 10 2596
50 10 2197
80 10 2714
30 10 1455
60 10 2335
12.5 5 4665
27.5 5 2106
42.5 5 2098
57.5 5 3925
72.5 5 4690
87.5 5 4260
17.5 5 4149
32.5 5 1851
47.5 5 3035
62.5 5 4188
77.5 5 4066
92.5 5 4541
7.5 5 4933
22.5 5 3007
37.5 5 2018
52.5 5 3408
67.5 5 4506
82.5 5 5012
150 100 3014
135 90 2761
145 90 2694
155 90 2725
165 90 2592
120 80 2590
130 80 2626
140 80 2543
150 80 2337
160 80 2272
180 80 2153
105 70 2308
115 70 2326
125 70 2389
135 70 2311
145 70 2078
165 70 1993
175 70 1915
185 70 1849
195 70 1743
170 60 1731
180 60 1622
190 60 1571
200 60 1507
210 60 1424
120 60 2082
130 60 1953
150 60 1829
160 60 1837
135 50 1713
145 50 1651
155 50 1562
165 50 1533
175 50 1530
185 50 1480
195 50 1372
205 50 1335
215 50 1267
225 50 1198
200 40 1368
210 40 1260
220 40 1111
230 40 1022
240 40 1038
150 40 1524
160 40 1408
170 40 1346
180 40 1377
190 40 1388
215 30 1284
225 30 979.7
235 30 848.8
245 30 907.1
165 30 1492
255 30 1100
175 30 1436
185 30 1421
195 30 1474
205 30 1462
230 20 1287
180 20 1943
240 20 899.5
190 20 1862
250 20 984.2
200 20 1693
260 20 1225
210 20 1563
270 20 1052
220 20 1513
215 10 2498
245 10 2613
275 10 631.9
195 10 2754
225 10 3056
255 10 1906
285 10 1202
205 10 2476
235 10 2528
265 10 1352
112.5 15 2812
157.5 15 2646
117.5 15 3009
162.5 15 2509
122.5 15 2704
167.5 15 2433
82.5 15 2333
127.5 15 2871
172.5 15 2560
132.5 15 2708
177.5 15 2444
92.5 15 2578
137.5 15 2896
97.5 15 2807
142.5 15 3000
102.5 15 2621
147.5 15 3132
107.5 15 2849
152.5 15 2834
110 10 3561
140 10 3928
170 10 3283
90 10 3325
120 10 4083
150 10 3985
180 10 3101
100 10 3393
130 10 3692
160 10 3428
97.5 5 4830
112.5 5 6011
127.5 5 4230
142.5 5 5142
157.5 5 5183
172.5 5 5422
187.5 5 4562
102.5 5 5450
117.5 5 4531
132.5 5 5359
147.5 5 5488
162.5 5 5009
177.5 5 5371
192.5 5 3902
107.5 5 5176
122.5 5 5447
137.5 5 4802
152.5 5 4882
167.5 5 5271
182.5 5 5110
180 120 3012
190 120 2923
200 120 2880
220 120 2717
165 110 3106
175 110 2982
185 110 2881
195 110 2709
215 110 2698
225 110 2520
235 110 2414
160 100 2867
170 100 2833
180 100 2737
190 100 2540
210 100 2454
220 100 2445
230 100 2324
240 100 2239
250 100 2075
175 90 2469
185 90 2367
205 90 2214
215 90 2176
225 90 2242
235 90 2123
245 90 2005
255 90 1900
265 90 1839
200 80 1979
210 80 1909
220 80 1988
230 80 2049
240 80 1899
250 80 1828
260 80 1768
280 80 1704
205 70 1647
215 70 1669
225 70 1725
235 70 1808
245 70 1718
265 70 1649
275 70 1674
285 70 1595
295 70 1475
270 60 1540
280 60 1541
290 60 1382
300 60 1184
310 60 1250
220 60 1416
230 60 1457
250 60 1544
260 60 1532
235 50 1226
245 50 1361
255 50 1345
265 50 1410
275 50 1399
285 50 1274
295 50 1065
305 50 1023
315 50 1112
325 50 1317
300 40 868
310 40 875.3
320 40 1058
330 40 1329
340 40 1563
250 40 1143
260 40 1189
270 40 1234
280 40 1139
290 40 920.6
315 30 832
325 30 1003
335 30 1334
345 30 1635
265 30 1053
355 30 1728
275 30 1001
285 30 757.4
295 30 765.2
305 30 744.2
330 20 1162
280 20 671.3
340 20 1576
290 20 635.8
350 20 1758
300 20 689
360 20 2005
310 20 704.6
370 20 2398
320 20 844
315 10 1489
345 10 3329
375 10 3671
295 10 791.9
325 10 2392
355 10 3479
385 10 3410
305 10 1658
335 10 2811
365 10 3188
212.5 15 1730
257.5 15 1458
217.5 15 1857
262.5 15 1278
222.5 15 2000
267.5 15 1154
182.5 15 2337
227.5 15 2004
272.5 15 1020
232.5 15 1582
277.5 15 789.5
192.5 15 2133
237.5 15 1449
197.5 15 2060
242.5 15 1302
202.5 15 1985
247.5 15 1261
207.5 15 1851
252.5 15 1399
210 10 2393
240 10 2061
270 10 1205
190 10 2597
220 10 2469
250 10 2883
280 10 1243
200 10 2719
230 10 3286
260 10 1319
197.5 5 4192
212.5 5 4066
227.5 5 4263
242.5 5 6496
257.5 5 2318
272.5 5 687.5
287.5 5 3504
202.5 5 3899
217.5 5 3666
232.5 5 5454
247.5 5 4009
262.5 5 1410
277.5 5 843.3
292.5 5 5817
207.5 5 3767
222.5 5 3951
237.5 5 4567
252.5 5 4439
267.5 5 1987
282.5 5 4563
280 120 2425
290 120 2675
300 120 3032
320 120 3113
265 110 2169
275 110 2149
285 110 2312
295 110 2572
315 110 2904
325 110 2888
335 110 2974
260 100 2025
270 100 2035
280 100 1968
290 100 2182
310 100 2636
320 100 2619
330 100 2858
340 100 3000
350 100 3128
275 90 1828
285 90 1890
305 90 2200
315 90 2241
325 90 2478
335 90 2786
345 90 3005
355 90 3213
365 90 3045
300 80 1789
310 80 1798
320 80 2109
330 80 2334
340 80 2664
350 80 2908
360 80 3342
380 80 2943
305 70 1407
315 70 1608
325 70 1878
335 70 2260
345 70 2523
365 70 3387
375 70 3448
385 70 3007
395 70 2413
370 60 3508
380 60 3420
390 60 3184
400 60 2530
410 60 1902
320 60 1435
330 60 1633
350 60 2544
360 60 3068
335 50 1563
